Partner,Dependents,tenure,ContractType,PaperlessBilling,MonthlyCharges,TotalCharges,SeniorCitizenCat,MultipleLines_No,MultipleLines_Yes,InternetService_DSL,InternetService_Fiber optic,OnlineSecurity_No,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_Yes,TechSupport_No,TechSupport_Yes,PaymentMethod_Bank transfer,PaymentMethod_Credit card,PaymentMethod_Mailed check
1,1,18,0,1,54.4,957.1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
0,0,3,1,1,50.25,152.3,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
0,1,29,0,0,19.85,535.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,38,0,0,20.1,730.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,60,0,1,99.65,5941.05,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0
1,1,72,0,1,83.6,5959.3,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0
0,0,48,1,1,44.8,2104.55,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
1,1,22,1,1,57.95,1271.8,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1
0,1,37,0,0,20.3,755.4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,5,1,0,80.7,374.8,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0
0,0,58,0,0,70.1,4048.95,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0
1,0,3,1,0,35.1,101.1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1
1,1,41,0,1,60.3,2511.3,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0
0,0,9,1,1,74.85,708.2,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0
0,0,38,1,0,69.95,2657.55,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0
0,0,7,1,1,48.2,340.35,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0
1,1,23,0,0,20.9,454.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,72,0,1,90.15,6716.45,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0
1,0,11,1,1,45.9,521.9,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,0,71,0,0,24.85,1901.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,65,0,1,19.55,1218.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,50,0,1,103.4,5236.4,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0
0,0,21,1,0,75.3,1570.7,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,1
0,0,20,1,1,108.2,2203.7,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0
1,0,55,1,1,103.65,5676.65,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0
0,0,7,1,0,69.15,488.65,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0
0,0,1,1,0,20.35,20.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,68,0,1,84.7,5711.05,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0
1,0,70,0,1,104.3,7188.5,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0
1,1,72,0,1,116.4,8543.25,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1,1,61,0,1,61.45,3751.15,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0
0,0,47,0,0,74.05,3496.3,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1
0,0,15,0,0,56.15,931.9,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
1,1,23,1,0,84.4,1936.85,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1
1,1,45,1,0,81.3,3541.1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1
0,0,45,0,0,112.2,5031.85,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
1,1,61,0,1,68.05,4158.25,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0
1,0,35,1,1,100.8,3437.5,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0
1,1,68,0,0,60.3,4109.0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
1,1,49,1,1,39.2,1838.15,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
1,0,48,0,1,60.6,2985.25,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0
0,0,28,0,1,59.9,1654.7,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0
0,0,60,0,0,61.4,3638.25,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0
0,0,13,1,1,81.9,1028.9,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1
1,1,68,0,1,88.85,6132.7,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0
0,0,64,0,1,104.65,6889.8,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0
0,0,72,0,1,107.4,7748.75,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
1,0,53,0,1,91.15,4862.5,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0
0,0,72,0,0,86.6,6350.5,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0
1,0,28,0,0,54.35,1426.45,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1
1,0,3,1,0,20.85,72.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,20,1,1,19.5,413.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1,12,1,1,105.3,1275.65,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0
1,0,42,0,1,105.2,4599.15,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0
0,0,50,0,0,114.35,5791.1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,0,30,1,1,94.3,2679.7,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0
0,0,3,1,0,73.85,196.4,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0
1,0,40,0,0,63.9,2635.0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0
1,0,60,0,0,102.5,6157.6,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0
0,0,30,0,1,79.3,2427.1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0
1,1,42,0,0,48.15,2032.3,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0
1,1,59,0,1,86.75,5186.0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0
0,0,39,1,1,40.6,1494.5,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
1,1,41,0,0,78.45,3126.45,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0
1,1,50,0,1,80.05,4042.2,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0
1,0,53,0,1,111.8,5809.75,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0
0,0,29,0,0,20.0,599.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,16,1,0,19.75,313.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,5,1,1,75.65,399.45,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1
1,1,35,0,0,19.9,666.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,37,1,1,100.05,3810.55,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0
0,0,23,0,0,55.8,1327.85,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0
0,0,72,0,0,115.05,8405.0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,0,1,1,1,43.85,43.85,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0
1,1,44,1,1,92.95,4122.9,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0
0,0,20,1,1,68.9,1370.35,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0
0,0,23,1,1,79.1,1783.75,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1
0,0,17,0,1,19.65,351.55,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,70,0,0,75.35,5437.75,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0
1,0,7,1,0,81.25,580.1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0
1,1,22,1,0,39.2,849.9,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
1,1,4,1,0,20.85,62.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,16,0,0,20.1,318.6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,70,0,0,25.4,1782.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,18,1,1,94.75,1691.9,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
1,0,71,0,0,83.2,6126.1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0
1,1,36,0,0,53.65,1939.35,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,1
0,0,28,1,0,56.05,1522.65,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0
0,0,27,0,0,78.2,2078.95,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
1,0,65,0,1,20.4,1414.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,56,0,0,110.5,6139.5,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0
1,0,28,1,0,20.5,563.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,19,1,0,20.2,382.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,50,0,1,79.6,4024.2,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1
0,1,1,1,0,19.55,19.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,13,0,0,43.8,592.65,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,1,15,1,1,69.5,1071.4,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
1,0,24,0,0,74.4,1712.9,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0
1,1,7,1,0,34.65,246.6,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1
1,0,67,1,1,94.65,6079.0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0
0,0,1,1,1,69.9,69.9,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0
1,0,72,0,1,114.5,8331.95,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
0,0,12,0,1,75.85,854.45,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1
0,1,44,0,0,19.55,819.95,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,65,0,1,107.45,7047.5,1,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0
1,0,65,1,1,108.8,7082.45,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0
1,1,25,0,1,61.6,1611.0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0
1,0,42,0,0,25.25,1108.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,2,1,0,19.25,48.35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,62,0,0,71.4,4487.3,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0
1,1,13,1,0,18.8,251.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,61,0,1,85.55,5251.75,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0
0,0,24,0,1,19.55,470.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,27,0,0,80.85,2204.35,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1
1,1,3,1,1,58.7,168.6,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0
1,0,61,0,0,75.35,4729.3,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0
0,0,8,1,1,60.0,487.75,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0
0,0,30,1,0,106.4,3211.9,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0
1,1,72,0,1,83.7,6096.9,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0
1,0,52,1,1,39.9,2020.9,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0
0,0,40,1,1,91.55,3673.6,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0
0,0,1,1,1,44.55,44.55,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
1,1,51,0,0,34.2,1782.0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0
1,1,50,1,1,69.75,3557.7,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0
1,0,61,1,1,94.2,5895.45,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
0,0,68,0,0,101.35,7110.75,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0
1,0,64,0,0,97.0,6430.9,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0
1,0,60,1,1,60.2,3582.4,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0
1,1,65,0,1,69.55,4459.15,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1
1,0,14,0,0,81.95,1181.75,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1
0,0,67,1,1,53.4,3579.15,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
0,1,29,0,0,100.55,2830.45,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0
0,0,11,1,0,84.8,888.75,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0
1,0,16,1,1,91.55,1540.05,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0
1,0,67,0,1,111.25,7511.65,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0
1,0,55,0,1,90.15,4916.95,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0
0,0,45,0,0,34.2,1596.6,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,0,48,0,1,70.55,3420.5,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0
1,0,61,0,1,80.8,4860.85,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0
0,1,1,1,1,70.45,70.45,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0
1,1,26,0,0,78.95,2034.25,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0
0,0,9,1,1,73.8,704.3,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0
1,1,70,0,1,110.2,7689.8,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0
0,0,38,0,0,95.0,3605.6,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0
1,1,42,0,1,94.45,3923.8,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0
1,0,38,0,0,69.0,2669.45,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0
0,0,13,1,0,29.15,357.15,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0
0,0,20,1,1,90.7,1781.35,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0
1,1,27,1,0,74.4,1972.35,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1
1,0,42,0,0,80.45,3375.9,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0
1,0,65,0,1,100.75,6674.65,1,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0
0,1,40,1,1,64.1,2460.35,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0
1,1,72,0,0,24.45,1709.1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,27,0,0,52.85,1498.65,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0
0,0,43,0,1,25.7,1188.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,66,0,1,90.95,5930.05,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0
1,0,23,1,0,90.15,2044.95,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1
1,0,72,1,1,94.65,6747.35,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0
1,1,23,0,0,81.85,1810.85,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0
0,1,31,1,0,25.0,789.2,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
1,1,72,0,0,114.45,8100.55,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
1,1,8,0,0,19.5,159.35,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,38,1,1,83.45,3147.15,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0
0,0,26,0,0,19.3,504.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,50,0,1,20.35,938.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,41,0,0,20.0,810.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,62,1,1,89.1,5618.3,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0
0,0,39,1,1,106.4,4040.65,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0
0,0,1,1,1,83.4,83.4,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,1
0,0,2,1,0,20.3,41.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,58,0,1,24.5,1497.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,54,0,1,18.95,1031.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,17,0,0,19.55,280.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,71,0,0,23.95,1756.2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,41,0,1,86.2,3339.05,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0
1,0,57,0,1,100.75,5985.0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0
1,0,6,1,0,50.35,314.55,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0
0,0,6,1,0,20.7,112.75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,40,0,0,20.15,804.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,23,1,1,55.3,1284.2,0,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0
1,0,72,0,1,97.85,6841.3,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0
0,1,1,1,0,33.6,33.6,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,1
0,0,46,1,0,84.25,3847.6,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1
0,0,66,0,1,25.15,1683.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,1,0,19.9,19.9,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,1,0,74.3,74.3,1,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
1,1,71,0,0,100.2,7209.0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0
1,0,69,0,0,99.5,6841.45,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0
1,0,66,0,1,70.85,4738.85,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0
1,0,71,0,1,99.4,7168.25,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0
0,0,64,0,0,81.25,5567.55,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,0
1,1,58,0,1,55.5,3166.9,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
1,0,19,1,1,96.8,1743.05,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0
1,1,16,1,0,19.35,275.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2,1,0,20.25,36.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,66,0,1,47.4,3177.25,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1
0,1,11,1,0,19.7,216.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,50,0,0,20.55,1070.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,46,0,1,20.2,845.6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,7,1,1,20.25,174.7,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,66,0,0,109.25,7082.5,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0
0,0,5,1,1,80.1,398.55,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1
1,1,72,0,0,23.75,1679.25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,5,1,0,19.45,86.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,48,1,1,70.65,3545.05,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0
1,1,39,0,1,24.2,914.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,10,1,1,95.1,865.1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0
0,0,57,0,0,69.85,4003.0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0
0,0,10,0,1,19.8,198.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,52,1,1,83.8,4331.4,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0
0,0,2,1,0,79.55,151.75,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0
1,1,62,0,0,20.3,1296.15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,54,0,0,80.6,4299.95,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0
1,0,72,0,1,110.65,8065.65,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0
1,0,72,0,1,111.9,8071.05,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0
0,0,71,0,1,118.65,8477.6,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,0,1,1,0,19.55,19.55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,72,0,1,118.75,8672.45,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
1,0,46,1,0,45.55,2062.15,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0
1,0,8,1,1,85.65,659.45,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0
1,0,43,0,0,86.45,3574.5,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0
0,0,29,1,1,84.9,2516.2,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,0
0,0,14,1,0,50.1,709.5,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0
0,0,3,1,0,107.95,313.6,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1
0,0,71,0,0,111.3,7985.9,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1
1,1,19,0,0,25.6,485.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,3,1,1,46.1,130.15,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1
0,0,22,0,1,20.05,417.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,5,1,0,20.55,96.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,15,0,0,19.8,304.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,16,1,0,19.75,294.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,8,0,0,20.15,165.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2,1,0,44.45,82.7,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
1,1,58,0,1,89.85,5125.75,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0
